genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.48223,Escherichia coli strain Escherichia coli str. TO124,ciprofloxacin,resistant,1,Escherichia coli
562.48223,Escherichia coli strain Escherichia coli str. TO124,gentamicin,susceptible,0,Escherichia coli
562.48223,Escherichia coli strain Escherichia coli str. TO124,imipenem,susceptible,0,Escherichia coli
562.48223,Escherichia coli strain Escherichia coli str. TO124,tetracycline,resistant,1,Escherichia coli
562.48223,Escherichia coli strain Escherichia coli str. TO124,trimethoprim,resistant,1,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,ampicillin,resistant,1,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,ciprofloxacin,resistant,1,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,gentamicin,resistant,1,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,imipenem,susceptible,0,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,tetracycline,susceptible,0,Escherichia coli
562.48225,Escherichia coli strain Escherichia coli str. TO217,trimethoprim,susceptible,0,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,ampicillin,susceptible,0,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,ciprofloxacin,resistant,1,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,gentamicin,resistant,1,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,imipenem,resistant,1,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,tetracycline,resistant,1,Escherichia coli
562.48226,Escherichia coli strain Escherichia coli str. 3426,trimethoprim,resistant,1,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,ampicillin,resistant,1,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,ciprofloxacin,resistant,1,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,gentamicin,susceptible,0,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,imipenem,susceptible,0,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,tetracycline,resistant,1,Escherichia coli
562.48227,Escherichia coli strain Escherichia coli str. TO148,trimethoprim,resistant,1,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,ampicillin,resistant,1,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,ciprofloxacin,susceptible,0,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,gentamicin,susceptible,0,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,imipenem,susceptible,0,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,tetracycline,resistant,1,Escherichia coli
562.50955,Escherichia coli strain Escherichia_coli_MC1,trimethoprim,resistant,1,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,ampicillin,resistant,1,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,ciprofloxacin,susceptible,0,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,gentamicin,susceptible,0,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,imipenem,susceptible,0,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,tetracycline,susceptible,0,Escherichia coli
562.51014,Escherichia coli strain Escherichia_coli_BgPS.131.S11,trimethoprim,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,ampicillin,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,ciprofloxacin,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,gentamicin,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,imipenem,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,tetracycline,susceptible,0,Escherichia coli
562.102861,Escherichia coli Escherichia_coli_DSM112125,trimethoprim,susceptible,0,Escherichia coli
562.102862,Escherichia coli Escherichia_coli_DSM112128,ampicillin,susceptible,0,Escherichia coli
562.102862,Escherichia coli Escherichia_coli_DSM112128,ciprofloxacin,susceptible,0,Escherichia coli
562.102862,Escherichia coli Escherichia_coli_DSM112128,gentamicin,susceptible,0,Escherichia coli
562.102862,Escherichia coli Escherichia_coli_DSM112128,imipenem,susceptible,0,Escherichia coli
562.102862,Escherichia coli Escherichia_coli_DSM112128,tetracycline,susceptible,0,Escherichia coli
